Date,Temperature (°C),Humidity (%),Wind Speed (km/h),Hurricane
2022-05-16 00:00:00,32.5,83,156,1
2022-05-17 00:00:00,32.2,90,136,1
2022-05-18 00:00:00,30.4,81,94,0
2022-05-19 00:00:00,32.1,79,93,0
2022-05-20 00:00:00,30.3,89,92,0
2022-05-21 00:00:00,31.0,64,82,0
2022-05-22 00:00:00,29.7,82,112,0
2022-05-23 00:00:00,30.1,68,82,0
2022-05-24 00:00:00,31.7,72,151,1
2022-05-25 00:00:00,28.5,86,103,0
2022-05-26 00:00:00,29.1,66,117,1
2022-05-27 00:00:00,30.4,69,180,1
2022-05-28 00:00:00,32.1,66,131,1
2022-05-29 00:00:00,30.2,82,85,0
2022-05-30 00:00:00,30.7,61,88,0
2022-05-31 00:00:00,29.8,72,101,0
2022-06-01 00:00:00,31.3,76,115,0
2022-06-02 00:00:00,29.7,73,103,0
2022-06-03 00:00:00,32.0,90,122,0
2022-06-04 00:00:00,30.4,73,178,1
2022-06-05 00:00:00,30.9,72,129,1
2022-06-06 00:00:00,27.9,87,91,0
2022-06-07 00:00:00,31.1,89,165,1
2022-06-08 00:00:00,30.8,78,75,0
2022-06-09 00:00:00,31.9,79,133,1
2022-06-10 00:00:00,30.5,90,123,0
2022-06-11 00:00:00,31.4,71,176,1
2022-06-12 00:00:00,32.5,83,175,1
2022-06-13 00:00:00,31.4,71,109,0
2022-06-14 00:00:00,30.6,79,111,0
2022-06-15 00:00:00,31.4,80,72,0
2022-06-16 00:00:00,33.6,80,83,0
2022-06-17 00:00:00,30.5,73,75,0
2022-06-18 00:00:00,30.9,86,77,0
2022-06-19 00:00:00,30.8,69,144,1
2022-06-20 00:00:00,31.7,68,132,1
2022-06-21 00:00:00,32.9,74,116,1
2022-06-22 00:00:00,29.6,83,143,1
2022-06-23 00:00:00,31.3,84,90,0
2022-06-24 00:00:00,29.5,77,114,0
2022-06-25 00:00:00,29.9,65,142,1
2022-06-26 00:00:00,30.5,77,114,0
2022-06-27 00:00:00,28.2,67,70,0
2022-06-28 00:00:00,30.8,62,164,1
2022-06-29 00:00:00,29.5,74,111,1
2022-06-30 00:00:00,31.4,86,155,1
2022-07-01 00:00:00,30.3,66,119,1
2022-07-02 00:00:00,31.6,74,111,1
2022-07-03 00:00:00,31.4,68,71,0
2022-07-04 00:00:00,28.8,79,172,1
2022-07-05 00:00:00,30.7,73,118,1
2022-07-06 00:00:00,31.5,81,170,1
2022-07-07 00:00:00,31.8,67,167,1
2022-07-08 00:00:00,32.9,80,113,0
2022-07-09 00:00:00,27.3,74,169,1
2022-07-10 00:00:00,31.7,68,92,0
2022-07-11 00:00:00,28.4,85,73,0
2022-07-12 00:00:00,32.8,72,84,0
2022-07-13 00:00:00,28.1,68,81,0
2022-07-14 00:00:00,28.7,90,153,1
2022-07-15 00:00:00,31.2,74,72,0
2022-07-16 00:00:00,31.6,85,89,0
2022-07-17 00:00:00,32.1,82,166,1
2022-07-18 00:00:00,31.9,60,96,0
2022-07-19 00:00:00,30.1,64,155,1
2022-07-20 00:00:00,29.5,70,93,0
2022-07-21 00:00:00,31.2,64,163,1
2022-07-22 00:00:00,30.9,84,178,1
2022-07-23 00:00:00,30.5,86,129,0
2022-07-24 00:00:00,31.2,87,148,1
2022-07-25 00:00:00,30.9,89,99,0
2022-07-26 00:00:00,28.4,89,77,0
2022-07-27 00:00:00,31.4,75,138,1
2022-07-28 00:00:00,27.9,74,112,1
2022-07-29 00:00:00,29.5,86,138,1
2022-07-30 00:00:00,31.1,90,131,1
2022-07-31 00:00:00,30.2,72,80,0
2022-08-01 00:00:00,30.3,66,132,1
2022-08-02 00:00:00,33.1,68,106,0
2022-08-03 00:00:00,33.9,88,134,1
2022-08-04 00:00:00,33.0,71,132,1
2022-08-05 00:00:00,32.7,73,78,0
2022-08-06 00:00:00,34.8,63,74,0
2022-08-07 00:00:00,31.4,65,140,1
2022-08-08 00:00:00,30.3,68,150,1
2022-08-09 00:00:00,29.7,67,156,1
2022-08-10 00:00:00,32.9,86,172,1
2022-08-11 00:00:00,32.2,88,120,0
2022-08-12 00:00:00,33.0,80,144,1
2022-08-13 00:00:00,31.0,77,83,0
2022-08-14 00:00:00,31.0,65,154,1
2022-08-15 00:00:00,33.4,90,118,0
2022-08-16 00:00:00,29.5,89,129,0
2022-08-17 00:00:00,30.0,88,141,1
2022-08-18 00:00:00,30.9,77,83,0
2022-08-19 00:00:00,32.0,82,119,0
2022-08-20 00:00:00,30.9,75,155,1
2022-08-21 00:00:00,29.4,87,144,1
2022-08-22 00:00:00,30.8,88,167,1
2022-08-23 00:00:00,33.1,67,160,1
2022-08-24 00:00:00,29.3,82,119,0
2022-08-25 00:00:00,30.3,87,166,1
2022-08-26 00:00:00,34.1,62,133,1
2022-08-27 00:00:00,31.3,84,147,1
2022-08-28 00:00:00,30.5,82,128,0
2022-08-29 00:00:00,32.2,79,76,0
2022-08-30 00:00:00,30.7,90,74,0
2022-08-31 00:00:00,30.4,74,140,1
2022-09-01 00:00:00,30.3,77,159,1
2022-09-02 00:00:00,29.7,72,177,1
2022-09-03 00:00:00,32.5,79,124,0
2022-09-04 00:00:00,28.2,77,137,1
2022-09-05 00:00:00,32.9,67,169,1
2022-09-06 00:00:00,29.6,69,102,0
2022-09-07 00:00:00,27.4,66,165,1
2022-09-08 00:00:00,33.6,69,128,1
2022-09-09 00:00:00,30.9,83,146,1
2022-09-10 00:00:00,29.5,88,144,1
2022-09-11 00:00:00,31.3,68,179,1
2022-09-12 00:00:00,33.2,86,71,0
2022-09-13 00:00:00,29.2,77,74,0
2022-09-14 00:00:00,31.2,80,128,0
2022-09-15 00:00:00,29.5,69,146,1
2022-09-16 00:00:00,29.1,76,136,1
2022-09-17 00:00:00,33.3,89,133,1
2022-09-18 00:00:00,29.5,89,171,1
2022-09-19 00:00:00,31.0,79,132,1
2022-09-20 00:00:00,30.8,64,102,0
2022-09-21 00:00:00,33.1,72,96,0
2022-09-22 00:00:00,31.7,73,148,1
2022-09-23 00:00:00,30.6,79,130,0
2022-09-24 00:00:00,28.9,60,93,0
2022-09-25 00:00:00,31.4,62,94,0
2022-09-26 00:00:00,27.6,87,138,1
2022-09-27 00:00:00,31.2,62,149,1
2022-09-28 00:00:00,31.2,88,163,1
2022-09-29 00:00:00,32.7,87,180,1
2022-09-30 00:00:00,30.7,85,158,1
2022-10-01 00:00:00,30.1,70,152,1
2022-10-02 00:00:00,30.2,78,166,1
2022-10-03 00:00:00,28.9,79,106,0
2022-10-04 00:00:00,29.1,78,77,0
2022-10-05 00:00:00,32.9,77,146,1
2022-10-06 00:00:00,32.7,75,148,1
2022-10-07 00:00:00,30.0,88,169,1
2022-10-08 00:00:00,31.9,85,76,0
2022-10-09 00:00:00,29.8,83,83,0
2022-10-10 00:00:00,27.6,77,96,0
2022-10-11 00:00:00,34.5,82,128,0
2022-10-12 00:00:00,32.9,78,86,0
2022-10-13 00:00:00,28.4,63,128,1
2022-10-14 00:00:00,32.3,68,160,1
2022-10-15 00:00:00,32.3,67,125,1
2022-10-16 00:00:00,32.4,65,161,1
2022-10-17 00:00:00,31.0,81,155,1
2022-10-18 00:00:00,31.6,64,125,1
2022-10-19 00:00:00,30.2,73,87,0
2022-10-20 00:00:00,31.0,60,133,1
2022-10-21 00:00:00,33.2,85,128,0
2022-10-22 00:00:00,29.2,67,143,1
2022-10-23 00:00:00,33.0,82,73,0
2022-10-24 00:00:00,34.5,67,109,0
2022-10-25 00:00:00,31.3,75,148,1
2022-10-26 00:00:00,31.8,79,169,1
2022-10-27 00:00:00,33.3,90,160,1
2022-10-28 00:00:00,29.2,80,147,1
2022-10-29 00:00:00,31.5,77,177,1
2022-10-30 00:00:00,32.8,60,122,1
2022-10-31 00:00:00,31.6,68,82,0
2022-11-01 00:00:00,33.6,67,108,0
2022-11-02 00:00:00,29.0,86,180,1
2022-11-03 00:00:00,28.5,67,163,1
2022-11-04 00:00:00,29.8,86,116,0
2022-11-05 00:00:00,32.6,61,128,1
2022-11-06 00:00:00,30.7,89,89,0
2022-11-07 00:00:00,32.4,75,165,1
2022-11-08 00:00:00,32.0,60,89,0
2022-11-09 00:00:00,33.3,86,177,1
2022-11-10 00:00:00,30.5,84,140,1
2022-11-11 00:00:00,31.2,74,79,0
2022-11-12 00:00:00,30.3,86,131,1
2022-11-13 00:00:00,32.2,79,160,1
2022-11-14 00:00:00,31.0,82,89,0
2022-11-15 00:00:00,29.3,82,119,0
2022-11-16 00:00:00,29.4,72,71,0
2022-11-17 00:00:00,32.4,72,131,1
2022-11-18 00:00:00,31.7,70,139,1
2022-11-19 00:00:00,33.6,81,169,1
2022-11-20 00:00:00,32.2,68,151,1
2022-11-21 00:00:00,31.2,86,146,1
2022-11-22 00:00:00,30.4,70,103,0
2022-11-23 00:00:00,31.2,77,93,0
2022-11-24 00:00:00,30.9,90,77,0
2022-11-25 00:00:00,30.9,63,98,0
2022-11-26 00:00:00,28.8,85,109,0
2022-11-27 00:00:00,33.2,77,83,0
2022-11-28 00:00:00,31.2,67,75,0
2022-11-29 00:00:00,28.3,68,95,0
2022-11-30 00:00:00,30.5,61,152,1
2022-12-01 00:00:00,28.0,77,115,0
2022-12-02 00:00:00,35.6,67,94,0
2022-12-03 00:00:00,31.4,74,73,0
2022-12-04 00:00:00,34.1,81,101,0
2022-12-05 00:00:00,31.1,80,97,0
2022-12-06 00:00:00,30.4,78,180,1
2022-12-07 00:00:00,30.1,88,124,0
2022-12-08 00:00:00,29.5,60,98,0
2022-12-09 00:00:00,31.8,64,173,1
2022-12-10 00:00:00,30.5,65,87,0
2022-12-11 00:00:00,30.4,76,81,0
2022-12-12 00:00:00,32.4,88,71,0
2022-12-13 00:00:00,29.4,61,167,1
2022-12-14 00:00:00,32.6,75,136,1
2022-12-15 00:00:00,27.2,73,81,0
2022-12-16 00:00:00,29.7,76,97,0
2022-12-17 00:00:00,32.9,89,101,0
2022-12-18 00:00:00,31.0,61,79,0
2022-12-19 00:00:00,32.3,81,163,1
2022-12-20 00:00:00,31.4,71,121,1
2022-12-21 00:00:00,31.6,72,111,1
2022-12-22 00:00:00,29.8,78,109,0
2022-12-23 00:00:00,31.7,62,79,0
2022-12-24 00:00:00,28.0,78,121,0
2022-12-25 00:00:00,29.4,76,126,0
2022-12-26 00:00:00,30.5,84,92,0
2022-12-27 00:00:00,31.8,88,90,0
2022-12-28 00:00:00,26.7,86,147,1
2022-12-29 00:00:00,33.3,86,152,1
2022-12-30 00:00:00,31.1,68,98,0
2022-12-31 00:00:00,29.9,72,91,0
2023-01-01 00:00:00,29.8,61,151,1
2023-01-02 00:00:00,27.8,81,162,1
2023-01-03 00:00:00,29.1,86,149,1
2023-01-04 00:00:00,33.3,75,76,0
2023-01-05 00:00:00,29.0,64,111,1
2023-01-06 00:00:00,32.8,81,95,0
2023-01-07 00:00:00,30.6,78,131,1
2023-01-08 00:00:00,31.1,70,133,1
2023-01-09 00:00:00,32.0,62,180,1
2023-01-10 00:00:00,28.3,78,90,0
2023-01-11 00:00:00,29.8,84,96,0
2023-01-12 00:00:00,33.9,82,156,1
2023-01-13 00:00:00,31.2,62,75,0
2023-01-14 00:00:00,32.9,67,98,0
2023-01-15 00:00:00,29.8,75,90,0
2023-01-16 00:00:00,29.3,69,89,0
2023-01-17 00:00:00,31.2,75,156,1
2023-01-18 00:00:00,30.6,82,162,1
2023-01-19 00:00:00,29.9,85,79,0
2023-01-20 00:00:00,30.7,60,124,1
2023-01-21 00:00:00,32.3,78,127,0
2023-01-22 00:00:00,30.9,62,86,0
2023-01-23 00:00:00,30.7,65,149,1
2023-01-24 00:00:00,29.4,77,122,0
2023-01-25 00:00:00,32.9,65,139,1
2023-01-26 00:00:00,32.7,74,136,1
2023-01-27 00:00:00,32.1,89,92,0
2023-01-28 00:00:00,31.4,80,102,0
2023-01-29 00:00:00,31.5,80,112,0
2023-01-30 00:00:00,30.1,84,171,1
2023-01-31 00:00:00,28.8,77,119,0
2023-02-01 00:00:00,33.2,64,80,0
2023-02-02 00:00:00,31.3,62,162,1
2023-02-03 00:00:00,31.2,71,164,1
2023-02-04 00:00:00,29.5,80,84,0
2023-02-05 00:00:00,29.3,73,111,1
2023-02-06 00:00:00,31.9,81,140,1
2023-02-07 00:00:00,32.1,90,167,1
2023-02-08 00:00:00,31.2,60,152,1
2023-02-09 00:00:00,30.7,78,96,0
2023-02-10 00:00:00,31.1,75,71,0
2023-02-11 00:00:00,28.3,90,141,1
2023-02-12 00:00:00,31.8,63,96,0
2023-02-13 00:00:00,31.7,68,120,1
2023-02-14 00:00:00,29.1,73,77,0
2023-02-15 00:00:00,29.7,63,118,1
2023-02-16 00:00:00,33.2,90,115,0
2023-02-17 00:00:00,31.0,89,76,0
2023-02-18 00:00:00,31.1,78,166,1
2023-02-19 00:00:00,29.9,86,104,0
2023-02-20 00:00:00,30.4,78,85,0
2023-02-21 00:00:00,30.8,82,152,1
2023-02-22 00:00:00,33.1,78,168,1
2023-02-23 00:00:00,31.2,60,165,1
2023-02-24 00:00:00,28.7,82,73,0
2023-02-25 00:00:00,30.8,89,148,1
2023-02-26 00:00:00,30.9,71,145,1
2023-02-27 00:00:00,30.1,77,152,1
2023-02-28 00:00:00,33.2,74,169,1
2023-03-01 00:00:00,31.3,71,120,1
2023-03-02 00:00:00,30.7,81,180,1
2023-03-03 00:00:00,30.9,88,119,0
2023-03-04 00:00:00,28.8,65,77,0
2023-03-05 00:00:00,30.3,82,104,0
2023-03-06 00:00:00,30.3,73,153,1
2023-03-07 00:00:00,30.1,83,73,0
2023-03-08 00:00:00,31.0,65,103,0
2023-03-09 00:00:00,31.5,65,80,0
2023-03-10 00:00:00,31.5,60,73,0
2023-03-11 00:00:00,31.4,77,126,0
2023-03-12 00:00:00,30.2,69,170,1
2023-03-13 00:00:00,32.2,75,108,0
2023-03-14 00:00:00,31.1,62,158,1
2023-03-15 00:00:00,28.9,87,83,0
2023-03-16 00:00:00,31.5,84,139,1
2023-03-17 00:00:00,30.5,72,147,1
2023-03-18 00:00:00,30.3,65,172,1
2023-03-19 00:00:00,31.5,88,175,1
2023-03-20 00:00:00,31.1,69,127,1
2023-03-21 00:00:00,29.3,77,94,0
2023-03-22 00:00:00,30.2,89,127,0
2023-03-23 00:00:00,30.6,77,104,0
2023-03-24 00:00:00,32.4,72,101,0
2023-03-25 00:00:00,31.7,86,80,0
2023-03-26 00:00:00,31.6,78,169,1
2023-03-27 00:00:00,33.0,90,136,1
2023-03-28 00:00:00,32.6,60,70,0
2023-03-29 00:00:00,34.0,65,130,1
2023-03-30 00:00:00,31.0,72,145,1
2023-03-31 00:00:00,29.6,77,101,0
2023-04-01 00:00:00,29.3,77,111,0
2023-04-02 00:00:00,29.3,70,153,1
2023-04-03 00:00:00,32.9,75,166,1
2023-04-04 00:00:00,32.7,82,138,1
2023-04-05 00:00:00,32.6,71,141,1
2023-04-06 00:00:00,31.7,77,85,0
2023-04-07 00:00:00,30.3,83,96,0
2023-04-08 00:00:00,30.5,67,106,0
2023-04-09 00:00:00,31.1,68,94,0
2023-04-10 00:00:00,30.0,69,176,1
2023-04-11 00:00:00,29.9,81,155,1
2023-04-12 00:00:00,33.1,75,166,1
2023-04-13 00:00:00,30.8,73,127,1
2023-04-14 00:00:00,32.3,70,117,1
2023-04-15 00:00:00,32.6,81,113,0
2023-04-16 00:00:00,29.0,75,90,0
2023-04-17 00:00:00,32.2,70,111,1
2023-04-18 00:00:00,31.1,84,135,1
2023-04-19 00:00:00,31.2,89,89,0
2023-04-20 00:00:00,31.7,90,102,0
2023-04-21 00:00:00,32.2,62,88,0
2023-04-22 00:00:00,29.0,75,135,1
2023-04-23 00:00:00,31.1,66,123,1
2023-04-24 00:00:00,30.7,61,146,1
2023-04-25 00:00:00,31.9,62,80,0
2023-04-26 00:00:00,32.4,63,108,0
2023-04-27 00:00:00,31.4,74,104,0
2023-04-28 00:00:00,29.9,76,134,1
2023-04-29 00:00:00,29.1,81,129,0
2023-04-30 00:00:00,32.0,61,81,0
